"SourcePath","Bytes","Extension","Sha256","Decision","Reason","TargetPath","TargetSha256"
"4.7-inch(684x1216)_ebook.zip","6429780",".zip","cdb0e102c09cccaeec48dc868257a98b188747358faefc5a21d80b2f0d207aa5","Exclude","Duplicate archive or file outside the curated import set","",""
"4.7-inch(684x1216)_ebook/.cache/clangd/index/app_album.c.0125333298448218.idx","2810",".idx","40b0769c73d4a545d9f8d725e78a5c3af7ed15ba88090dde7f5a75e49de4e5a0","Exclude","Generated local unknown-origin or backup file","",""
"4.7-inch(684x1216)_ebook/.cache/clangd/index/app_album.c.D25CD8ED1E59F93B.idx","2886",".idx","0e1732d6538f462f8baa1b3d49e2d3adc200aed2d7b25eafc6b08137bd65e44b","Exclude","Generated local unknown-origin or backup file","",""
"4.7-inch(684x1216)_ebook/.cache/clangd/index/app_album.h.AA5BEF1607F83D0C.idx","722",".idx","69f16a38aebce3bd6bb3b67d9c02ea159201f77fde2dd2f4df9abcd55a242c3d","Exclude","Generated local unknown-origin or backup file","",""
"4.7-inch(684x1216)_ebook/.cache/clangd/index/app_album.h.D834C16A09C85464.idx","1034",".idx","2c44689c3fb7dbc1854b3e445db3cc3d0304ffd2aa2d6e43b0808683b006a9f9","Exclude","Generated local unknown-origin or backup file","",""
"4.7-inch(684x1216)_ebook/.cache/clangd/index/app_ebook.c.80C29455A2F5E8D7.idx","1340",".idx","1050edbecffb81844c345526dc34905cef0ffd78c630a4f5737b065401ee4824","Exclude","Generated local unknown-origin or backup file","",""
"4.7-inch(684x1216)_ebook/.cache/clangd/index/app_ebook.c.D31744F61D23EFB1.idx","1360",".idx","a9cdd1d5e185a0b2e6e3f24057bda9126003218e3509d6466baf3b957299c966","Exclude","Generated local unknown-origin or backup file","",""
"4.7-inch(684x1216)_ebook/.cache/clangd/index/app_ebook.h.CCA507137A1475D6.idx","1196",".idx","e3373e9e67a9108b33efc93e1d591af12106df67726700d0b945661a7f2c0854","Exclude","Generated local unknown-origin or backup file","",""
"4.7-inch(684x1216)_ebook/.cache/clangd/index/app_ebook.h.E26DD39371B047AF.idx","1072",".idx","b9d88da4c3fa9d19aa9c7c9c2855fe7877b0ce5696ac566a8c852f36d0eb3d46","Exclude","Generated local unknown-origin or backup file","",""
"4.7-inch(684x1216)_ebook/.cache/clangd/index/ble_control.c.796A58799F911E0D.idx","7214",".idx","c5dd74cb053447cc7bdceedc421ee5d1341cadfec725101c44938dd78bbe19c5","Exclude","Generated local unknown-origin or backup file","",""
"4.7-inch(684x1216)_ebook/.cache/clangd/index/ble_control.h.0089A9AF5B0D5F0A.idx","890",".idx","d1406e2c65a024aac7b557dac5065632fec85333a5e9ffd2202a053c3d994a29","Exclude","Generated local unknown-origin or backup file","",""
"4.7-inch(684x1216)_ebook/.cache/clangd/index/board_specific.c.345CD8A908E2267B.idx","422",".idx","90b12edbdc8ee516a662245718bbce00df9b153e0005b80e803cdeb2b23a6afb","Exclude","Generated local unknown-origin or backup file","",""
"4.7-inch(684x1216)_ebook/.cache/clangd/index/board_specific.c.856A422959738767.idx","408",".idx","b2950b404761489b2f4f1978286f1d25d4b1080763bcd61d349b7a0208ece592","Exclude","Generated local unknown-origin or backup file","",""
